"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"C.J. Cron","- - -","71","278","12","6.1%","23.4%",".186",".284",".248",".295",".434",".312",".334","82","-5.3","-11.3","-3.0","-0.5",".729","15.4%","32","-1.4","-1.06","33.1%","61.8%","47.6%","59.4%","80.5%","73.2%","50.5%","-2.9","43.6%","24.1%","87.7","12.8","13.9%","114.5","40.0%","195","31.3%",".257",".470","12546","543068"
"Victor Caratini","MIL","62","226","7","8.4%","19.9%",".124",".296",".259",".327",".383",".312",".306","94","-3.3","-4.9","8.5","1.1",".711","15.6%","26","-1.1","-0.73","23.5%","63.6%","45.3%","64.0%","85.3%","80.3%","54.5%","-1.3","42.1%","16.4%","91.3","10.8","5.0%","112.4","44.7%","159","26.5%",".252",".368","14968","605170"
"Travis Jankowski","TEX","107","287","1","12.2%","14.6%",".069",".311",".263",".357",".332",".312",".303","95","0.4","-1.3","2.0","1.0",".689","1.7%","34","-1.4","-0.02","16.1%","56.7%","37.5%","70.6%","93.7%","89.0%","52.7%","-2.9","30.3%","32.2%","85.4","8.1","0.0%","108.7","25.5%","208","26.1%",".254",".309","13768","608671"
"Jake Rogers","DET","107","365","21","7.7%","32.3%",".224",".268",".221",".286",".444",".312",".326","97","0.2","-1.0","10.9","2.2",".730","23.3%","43","-1.9","-0.43","23.0%","63.9%","45.6%","42.5%","77.7%","69.8%","55.4%","0.8","41.7%","21.8%","90.4","14.7","12.0%","109.1","44.9%","216","32.3%",".229",".454","19452","668670"
"Stuart Fairchild","CIN","97","255","5","9.8%","27.1%",".160",".306",".228",".321",".388",".312",".315","89","2.3","-1.1","-0.3","0.7",".710","8.6%","30","-1.3","-0.84","21.7%","75.7%","51.0%","35.8%","77.6%","69.5%","54.2%","1.3","50.3%","21.3%","85.9","14.3","7.7%","109.7","29.7%","155","27.9%",".232",".385","20321","656413"
"Anthony Rendon","LAA","43","183","2","13.7%","14.8%",".081",".268",".236",".361",".318",".312",".357","95","-0.2","-1.3","-3.2","0.2",".678","3.7%","21","-1.0","0.15","17.5%","60.7%","39.2%","65.2%","88.3%","83.1%","50.1%","0.5","33.6%","25.6%","90.1","16.2","4.8%","106.6","41.6%","125","25.3%",".263",".388","12861","543685"
"Yan Gomes","CHC","116","419","10","5.0%","19.3%",".141",".309",".267",".315",".408",".312",".317","95","-1.7","-4.2","-0.5","1.0",".723","8.1%","49","-2.3","0.83","37.6%","67.1%","52.5%","59.9%","87.7%","77.8%","50.3%","-1.0","32.5%","28.9%","87.4","15.1","7.8%","109.7","36.4%","308","27.1%",".257",".398","9627","543228"
"Willy Adames","MIL","149","638","24","11.1%","25.9%",".190",".259",".217",".310",".407",".311",".341","94","-0.3","-5.3","17.7","3.4",".717","13.6%","74","-3.7","-0.74","33.0%","69.5%","50.0%","50.8%","82.6%","71.4%","46.7%","1.1","46.5%","17.8%","87.4","18.2","12.4%","109.8","36.1%","396","27.8%",".242",".442","15986","642715"
"Byron Buxton","MIN","85","347","17","10.1%","31.4%",".230",".253",".207",".294",".438",".311",".320","98","4.8","4.0","-8.6","0.7",".731","15.7%","40","-2.1","-0.21","28.0%","71.4%","50.0%","42.0%","83.1%","71.8%","50.8%","2.3","52.8%","17.1%","91.5","20.1","14.6%","116.9","45.7%","199","27.6%",".214",".430","14161","621439"
"Cedric Mullins II","BAL","116","455","15","9.5%","22.2%",".183",".271",".233",".305",".416",".311",".288","99","3.3","2.6","-0.1","1.8",".721","10.1%","53","-2.9","0.60","26.8%","68.3%","49.1%","57.2%","85.0%","77.9%","53.5%","0.7","46.8%","18.4%","88.9","21.6","6.5%","110.5","36.8%","310","26.4%",".223",".349","17929","656775"
"Mauricio Dubon","HOU","132","492","10","3.9%","14.2%",".133",".308",".278",".309",".411",".311",".302","97","0.1","-1.6","3.5","1.9",".720","7.4%","57","-3.2","0.02","40.6%","74.3%","58.1%","74.9%","88.7%","84.0%","51.8%","1.2","34.5%","27.3%","87.0","9.5","4.5%","107.0","29.5%","400","22.0%",".274",".384","16530","643289"
"Ramon Urias","BAL","116","396","4","6.8%","25.5%",".111",".355",".264",".328",".375",".310",".281","99","0.7","0.0","-5.1","0.8",".703","5.4%","46","-2.6","-0.07","28.7%","68.3%","49.1%","51.7%","83.3%","74.4%","51.6%","1.9","42.3%","24.2%","89.2","7.9","6.9%","109.5","38.1%","260","28.9%",".223",".335","18795","602104"
"Keibert Ruiz","WSN","136","562","18","5.5%","10.3%",".149",".263",".260",".308",".409",".310",".322","93","-7.4","-12.4","-7.2","0.0",".717","9.8%","65","-3.7","-0.85","37.3%","65.2%","51.1%","76.6%","93.1%","87.0%","49.5%","-5.7","45.8%","20.3%","87.4","15.2","5.8%","110.1","31.7%","467","22.9%",".272",".420","19610","660688"
"MJ Melendez","KCR","148","602","16","10.3%","28.2%",".163",".311",".235",".316",".398",".310",".325","92","-0.9","-6.7","-13.6","0.0",".713","10.0%","69","-4.1","0.25","27.4%","68.2%","47.8%","49.9%","76.0%","68.6%","50.1%","-0.9","45.8%","21.8%","93.2","16.9","11.4%","113.2","49.6%","367","30.6%",".233",".428","22197","669004"
"Francisco Alvarez","NYM","123","423","25","8.0%","26.0%",".228",".222",".209",".284",".437",".310",".306","97","-3.8","-5.3","17.9","2.7",".721","21.4%","48","-3.1","-0.77","25.7%","64.6%","44.9%","45.2%","81.3%","70.9%","49.6%","-1.5","44.3%","20.2%","90.1","12.5","12.5%","114.1","44.7%","273","29.8%",".208",".420","26121","682626"
"Jeremy Pena","HOU","150","634","10","6.8%","20.3%",".118",".323",".263",".324",".381",".310",".302","96","0.1","-2.6","9.0","2.8",".705","8.5%","73","-4.6","-3.23","33.9%","73.8%","53.0%","45.2%","88.2%","73.8%","47.9%","2.0","44.9%","21.1%","88.0","5.5","4.0%","111.6","35.1%","453","26.3%",".254",".361","21636","665161"
"Sal Frelick","MIL","57","223","3","12.6%","16.6%",".105",".286",".246",".341",".351",".309",".298","92","3.6","1.5","5.4","1.4",".692","6.1%","26","-1.7","-0.28","30.4%","56.4%","42.9%","76.8%","92.9%","87.0%","48.3%","2.2","33.8%","33.1%","83.3","8.1","2.6%","106.2","23.6%","157","26.1%",".236",".305","29622","686217"
"Edmundo Sosa","PHI","104","300","10","2.7%","24.7%",".176",".306",".251",".293",".427",".309",".298","92","0.0","-3.0","1.7","0.9",".719","13.0%","34","-2.2","-1.82","42.6%","74.5%","59.1%","59.5%","82.7%","74.6%","51.6%","1.8","49.0%","19.2%","86.8","13.8","6.7%","111.8","32.1%","209","27.7%",".244",".394","17022","624641"
"Andres Gimenez","CLE","153","616","15","5.2%","18.2%",".147",".289",".251",".314",".399",".309",".300","97","2.6","0.7","14.9","3.6",".712","9.2%","70","-4.7","-0.53","40.0%","68.0%","53.9%","63.4%","85.1%","77.0%","49.6%","0.3","43.1%","24.6%","84.8","13.1","5.5%","108.8","27.0%","452","25.9%",".245",".371","19950","665926"
"Jordan Westburg","BAL","68","228","3","7.0%","24.6%",".144",".336",".260",".311",".404",".309",".314","97","0.8","0.1","3.0","1.1",".715","5.4%","26","-1.8","-0.33","26.0%","69.1%","48.5%","52.8%","84.4%","76.3%","52.1%","0.7","46.5%","20.0%","90.2","13.4","6.5%","111.4","44.5%","155","28.1%",".257",".393","27815","676059"
"Bryan De La Cruz","MIA","153","626","19","6.4%","22.7%",".154",".307",".257",".304",".411",".309",".330","92","-2.7","-9.2","-10.6","0.2",".715","12.0%","71","-5.0","-0.19","32.6%","68.6%","50.1%","60.0%","79.9%","73.2%","48.4%","-0.6","38.2%","25.6%","89.9","11.8","8.8%","111.0","42.4%","443","29.2%",".270",".439","19600","650559"
"Carlos Correa","MIN","135","580","18","10.2%","22.6%",".169",".272",".230",".312",".399",".309",".329","96","-9.2","-11.8","3.5","1.1",".711","13.7%","66","-4.7","-2.50","26.7%","61.8%","43.6%","59.0%","85.9%","77.3%","48.2%","-2.5","38.6%","25.9%","90.4","10.6","9.6%","114.2","45.9%","386","29.2%",".250",".418","14162","621043"
"Evan Longoria","ARI","74","237","11","9.7%","30.8%",".199",".277",".223",".295",".422",".308",".324","92","-2.5","-5.0","-2.2","0.1",".717","18.3%","27","-2.0","-0.40","27.7%","58.0%","42.8%","56.6%","81.7%","73.6%","49.8%","-1.5","48.9%","21.3%","92.2","15.6","10.6%","109.7","51.8%","141","31.2%",".228",".448","9368","446334"
"Alejandro Kirk","TOR","123","422","8","10.0%","10.7%",".108",".265",".250",".334",".358",".308",".317","96","-10.3","-12.3","14.4","1.6",".692","8.1%","48","-3.6","-2.41","27.3%","56.1%","41.6%","78.1%","93.3%","88.3%","49.6%","-6.0","33.1%","27.7%","87.6","6.3","5.2%","108.3","38.3%","329","26.6%",".249",".379","22581","672386"
"Hunter Renfroe","- - -","140","548","20","8.0%","22.8%",".183",".270",".233",".297",".416",".308",".289","92","-1.5","-6.6","-6.0","0.6",".713","13.2%","62","-4.7","-1.64","33.5%","69.5%","51.0%","57.3%","84.7%","75.4%","48.5%","0.4","49.2%","18.4%","88.3","15.0","6.1%","113.2","38.8%","376","27.0%",".224",".365","15464","592669"
"Michael A. Taylor","MIN","129","388","21","6.7%","33.5%",".223",".278",".220",".278",".442",".308",".311","96","2.3","0.2","3.4","1.7",".720","24.1%","44","-3.5","0.24","29.7%","67.0%","48.0%","41.6%","80.1%","67.9%","49.1%","0.9","42.8%","21.8%","88.1","13.4","13.5%","114.3","38.0%","229","30.4%",".222",".440","11489","572191"
"Luke Maile","CIN","78","199","6","7.0%","24.6%",".156",".290",".235",".308",".391",".307",".320","86","-3.0","-6.5","2.0","0.2",".699","12.2%","22","-1.9","-0.70","26.2%","61.7%","44.4%","56.1%","83.9%","75.9%","51.2%","-0.7","43.5%","21.4%","87.7","14.7","10.7%","106.0","33.6%","131","30.2%",".237",".422","13355","571912"
"Gio Urshela","LAA","62","228","2","4.4%","15.8%",".075",".346",".299",".329",".374",".307",".288","92","-1.7","-4.0","0.1","0.4",".703","3.6%","26","-2.2","-0.17","38.1%","71.6%","54.8%","68.5%","90.5%","82.8%","49.9%","0.8","29.3%","33.2%","87.5","8.6","3.9%","106.1","33.2%","181","22.7%",".255",".355","10681","570482"
"Brendan Rodgers","COL","46","192","4","5.7%","21.4%",".129",".316",".258",".313",".388",".307",".318","76","-1.5","-7.2","0.3","0.0",".700","9.8%","22","-1.9","-0.80","29.4%","64.1%","48.1%","47.9%","87.1%","76.1%","54.0%","-0.3","32.9%","23.4%","88.3","4.8","11.0%","111.0","40.2%","137","29.0%",".252",".421","17907","663898"
"Elehuris Montero","COL","85","307","11","4.9%","36.2%",".183",".352",".243",".290",".426",".306",".253","76","-0.3","-9.5","-9.5","-0.9",".716","16.7%","34","-3.0","-0.72","43.8%","64.5%","53.1%","40.4%","81.0%","62.5%","44.7%","0.2","41.5%","25.0%","88.3","9.9","6.8%","110.5","43.8%","176","35.5%",".199",".312","20543","660707"
"Dominic Smith","WSN","153","586","12","8.0%","15.5%",".112",".286",".254",".326",".366",".306",".322","90","-3.9","-11.1","-7.7","0.1",".692","7.3%","66","-5.8","-1.62","31.8%","66.4%","49.0%","69.7%","87.4%","81.6%","49.8%","-2.5","38.4%","26.5%","86.3","12.8","6.6%","108.3","30.8%","438","24.8%",".256",".397","15653","642086"
"CJ Abrams","WSN","151","614","18","5.2%","19.2%",".167",".279",".245",".300",".412",".306",".306","90","9.5","2.0","-1.4","2.1",".712","10.7%","69","-6.2","-0.89","35.5%","69.7%","52.9%","65.5%","87.4%","80.2%","51.0%","1.5","37.5%","23.7%","87.4","13.5","6.9%","112.5","35.7%","451","24.3%",".248",".398","25768","682928"
"Andrew Knizner","STL","70","241","10","5.0%","25.7%",".183",".288",".241",".288",".424",".306",".286","92","-1.3","-3.5","-6.1","-0.1",".712","14.5%","27","-2.5","-1.02","38.2%","69.0%","54.3%","60.9%","81.2%","74.4%","52.2%","-0.9","39.0%","26.2%","89.6","14.3","7.9%","110.3","40.9%","164","27.9%",".220",".388","19514","668800"
"Tommy Edman","STL","137","528","13","6.6%","15.9%",".150",".275",".248",".307",".399",".306",".310","92","1.8","-3.2","7.9","2.3",".705","10.2%","59","-5.6","0.20","27.5%","61.4%","45.6%","63.5%","94.1%","85.4%","53.2%","-1.2","43.0%","20.7%","89.1","7.5","5.0%","111.2","38.6%","402","26.0%",".260",".383","19470","669242"
"Tyler Stephenson","CIN","142","517","13","9.1%","26.1%",".135",".314",".243",".317",".378",".305",".314","85","-5.7","-15.6","-9.2","-0.7",".696","13.7%","57","-5.7","-2.40","23.5%","60.7%","42.5%","47.0%","84.1%","74.2%","51.3%","-1.9","39.9%","27.2%","89.4","8.9","7.6%","111.1","43.2%","331","30.0%",".242",".395","17988","663886"
"Elly De La Cruz","CIN","98","427","13","8.2%","33.7%",".175",".336",".235",".300",".410",".305",".302","84","5.0","-3.3","5.9","1.7",".710","24.5%","47","-4.9","-0.34","32.4%","59.3%","45.2%","55.9%","82.9%","72.8%","47.7%","2.1","43.9%","17.5%","91.2","3.6","8.5%","119.2","45.9%","246","30.4%",".238",".386","26668","682829"
"Jose Caballero","SEA","104","280","4","10.0%","23.6%",".100",".285",".221",".343",".320",".305",".299","96","5.2","4.0","8.3","2.2",".663","5.0%","31","-3.2","-0.74","28.9%","55.7%","42.5%","60.9%","87.4%","78.6%","51.1%","0.3","48.5%","21.9%","83.3","21.5","3.6%","108.4","23.1%","169","31.2%",".208",".301","23401","676609"
"Jurickson Profar","- - -","125","521","9","9.6%","17.3%",".126",".279",".242",".321",".368",".304",".305","76","-3.0","-18.4","-19.1","-2.0",".689","6.5%","57","-6.0","-1.08","24.1%","68.3%","47.1%","59.7%","89.0%","81.8%","52.1%","-1.3","44.7%","21.7%","86.5","14.8","4.0%","108.8","31.7%","375","23.6%",".245",".344","10815","595777"
"Whit Merrifield","TOR","145","592","11","6.1%","17.1%",".110",".313",".272",".318",".382",".304",".274","93","1.0","-3.8","-0.8","1.5",".700","6.5%","65","-7.0","-0.40","31.6%","68.5%","50.9%","69.4%","87.6%","82.2%","52.5%","2.5","34.3%","27.9%","85.1","14.4","2.4%","106.1","24.1%","452","25.0%",".241",".329","11281","593160"
"Blake Sabol","SFG","110","344","13","7.0%","34.0%",".158",".330",".235",".301",".394",".303",".282","92","1.1","-2.2","-2.5","0.7",".695","18.1%","38","-4.4","1.02","29.4%","71.0%","51.0%","37.3%","76.8%","65.8%","51.8%","1.1","37.6%","30.5%","89.1","16.1","11.2%","111.6","38.6%","197","31.1%",".198",".368","25805","666165"
"Adam Frazier","BAL","141","455","13","7.0%","14.9%",".155",".258",".240",".300",".396",".302",".301","93","2.1","-1.7","-10.9","0.3",".696","10.2%","49","-6.0","1.28","29.7%","64.6%","47.9%","63.6%","89.4%","81.8%","52.4%","1.1","39.1%","25.7%","85.7","15.2","3.1%","106.7","22.8%","351","26.4%",".260",".359","15223","624428"
"Tyrone Taylor","MIL","81","243","10","3.3%","22.6%",".212",".263",".234",".267",".446",".302",".307","88","1.4","-2.3","2.5","0.8",".713","12.8%","26","-3.3","-0.36","34.8%","66.3%","51.7%","56.6%","86.4%","77.2%","53.8%","1.3","52.0%","15.3%","87.7","18.2","6.8%","109.0","39.6%","177","28.3%",".248",".427","13675","621438"
"Zach Neto","LAA","84","329","9","6.1%","23.4%",".152",".272",".225",".308",".377",".302",".314","89","-0.4","-4.9","4.5","1.1",".685","10.1%","36","-4.4","-0.03","26.8%","66.4%","47.4%","45.8%","82.9%","72.8%","51.9%","-0.4","46.8%","25.0%","89.1","14.5","8.8%","109.9","39.8%","216","29.0%",".226",".400","31347","687263"
"Andruw Monasterio","MIL","92","315","3","8.9%","21.0%",".089",".326",".259",".330",".348",".302",".307","88","-3.2","-8.1","1.2","0.4",".678","3.3%","34","-4.2","0.06","21.5%","60.1%","41.9%","59.6%","85.8%","79.4%","52.9%","-1.8","37.2%","28.9%","88.8","17.7","5.5%","106.3","33.0%","218","28.6%",".249",".367","19455","655316"
"Salvador Perez","KCR","140","580","23","3.3%","23.3%",".167",".294",".255",".292",".422",".302",".326","86","-3.5","-13.1","-9.2","-0.3",".714","13.7%","63","-7.9","-1.27","46.9%","76.2%","60.2%","56.6%","82.6%","71.5%","45.3%","-2.8","43.6%","23.1%","90.1","15.6","8.7%","113.1","43.6%","413","26.7%",".264",".458","7304","521692"
"Nick Senzel","CIN","104","330","13","7.9%","22.4%",".163",".269",".236",".297",".399",".302",".297","83","1.4","-5.8","-9.1","-0.4",".696","14.8%","36","-4.5","-0.45","28.3%","66.9%","49.0%","61.2%","87.1%","80.1%","53.4%","2.6","45.4%","23.6%","87.4","15.2","4.8%","108.8","34.1%","229","25.9%",".244",".365","19293","669222"
"Kris Bryant","COL","80","335","10","8.7%","20.3%",".133",".270",".233",".313",".367",".302",".323","73","-2.2","-13.5","-10.0","-1.2",".680","11.1%","36","-4.6","-1.66","26.1%","69.2%","45.9%","55.3%","86.5%","76.9%","45.9%","-1.7","49.1%","16.4%","85.7","14.4","6.0%","108.8","31.5%","232","25.9%",".245",".410","15429","592178"
"Jake Cronenworth","SDP","127","522","10","8.8%","18.6%",".148",".267",".229",".312",".378",".301",".304","92","3.2","-1.9","-5.4","1.0",".689","6.8%","56","-7.5","-1.50","28.6%","63.4%","47.4%","68.3%","93.2%","86.3%","54.0%","2.5","36.2%","26.7%","87.3","15.0","4.4%","108.4","33.2%","368","24.1%",".236",".366","18036","630105"
"Alec Burleson","STL","107","347","8","6.6%","13.0%",".146",".261",".244",".300",".390",".300",".329","89","-4.7","-9.5","-11.4","-0.9",".691","8.2%","37","-5.2","-1.40","36.1%","68.0%","51.8%","74.1%","90.1%","84.4%","49.0%","-2.6","38.8%","26.0%","89.9","12.4","5.8%","110.6","39.9%","276","22.4%",".268",".433","27615","676475"
"Manuel Margot","TBR","99","336","4","5.4%","16.4%",".113",".306",".264",".310",".376",".299",".304","93","-1.7","-4.5","-2.7","0.4",".686","4.5%","36","-5.3","0.18","29.2%","67.8%","49.5%","56.5%","86.0%","77.7%","52.5%","-1.1","40.5%","28.2%","87.9","10.5","3.9%","111.5","37.5%","259","26.8%",".263",".368","14712","622534"
"Brian Anderson","MIL","96","361","9","10.0%","29.9%",".142",".309",".226",".310",".368",".299",".315","85","-2.8","-9.4","2.0","0.5",".678","12.7%","38","-5.8","-1.87","28.7%","66.5%","48.9%","44.8%","79.1%","69.8%","53.6%","0.1","29.1%","27.2%","87.6","9.9","10.3%","110.4","37.1%","213","30.2%",".228",".385","18289","605119"
"Akil Baddoo","DET","112","357","11","11.8%","24.9%",".154",".268",".218",".310",".372",".299",".301","88","2.9","-2.2","-1.0","0.9",".682","12.9%","38","-5.7","-0.10","25.3%","67.1%","46.2%","45.5%","89.4%","77.4%","50.1%","1.5","38.5%","25.7%","88.1","10.8","6.2%","111.7","36.3%","226","25.3%",".216",".370","22168","668731"
"Miguel Cabrera","DET","98","370","4","8.4%","20.0%",".096",".317",".257",".322",".353",".299",".296","88","-4.9","-10.2","-10.2","-0.8",".675","5.3%","39","-6.0","-1.25","28.2%","66.9%","48.3%","55.1%","84.8%","76.5%","52.0%","-2.6","36.9%","27.0%","89.1","7.4","4.2%","111.5","37.6%","263","27.3%",".239",".352","1744","408234"
"Andrew Benintendi","CHW","151","621","5","8.4%","14.3%",".094",".301",".262",".326",".356",".299",".309","87","2.3","-7.2","-14.4","0.0",".682","3.0%","66","-10.0","0.75","27.3%","68.1%","48.8%","70.7%","87.1%","82.8%","52.7%","1.9","32.5%","29.4%","86.6","14.5","2.9%","109.1","26.8%","477","23.1%",".267",".370","17901","643217"
"Trent Grisham","SDP","153","555","13","13.5%","27.7%",".154",".264",".198",".315",".352",".299",".326","91","4.0","-2.4","0.1","1.7",".666","9.9%","59","-9.0","-1.54","22.8%","57.6%","41.1%","57.5%","81.3%","75.0%","52.5%","2.4","42.8%","21.9%","90.3","18.3","11.8%","112.3","39.9%","321","29.2%",".219",".400","18564","663757"
"Maikel Garcia","KCR","123","515","4","7.4%","22.3%",".086",".344",".272",".323",".358",".299",".318","84","-0.8","-10.7","12.5","1.9",".681","4.1%","54","-8.4","-1.59","20.9%","61.4%","42.8%","62.3%","87.6%","81.9%","54.1%","-0.7","33.1%","27.5%","91.8","6.1","3.9%","110.0","50.6%","360","28.1%",".270",".387","22715","672580"
"Ezequiel Tovar","COL","153","615","15","4.1%","27.0%",".155",".328",".253",".287",".408",".298",".290","70","-0.6","-23.3","18.5","1.6",".695","10.6%","65","-10.2","-0.06","43.0%","77.5%","59.3%","50.9%","82.7%","70.6%","47.5%","0.0","33.6%","27.1%","88.0","12.6","8.1%","109.8","35.7%","420","28.1%",".247",".383","24064","678662"
"Ramon Laureano","- - -","105","404","9","8.2%","28.2%",".147",".301",".224",".304",".371",".298",".306","91","-1.0","-5.3","1.4","1.0",".676","10.1%","42","-6.9","-0.01","28.4%","64.4%","46.7%","37.8%","87.8%","72.9%","50.9%","-2.5","43.2%","26.2%","88.2","12.9","9.7%","112.7","35.9%","248","29.3%",".230",".373","17128","657656"
"Luis Urias","- - -","52","177","3","11.9%","23.2%",".104",".250",".194",".337",".299",".298",".298","83","-1.5","-5.2","-1.6","-0.1",".636","7.1%","19","-3.0","-0.12","23.7%","54.7%","39.7%","54.1%","83.7%","75.2%","51.6%","-0.6","54.4%","21.4%","84.9","14.7","5.7%","105.9","28.6%","105","32.4%",".181",".314","16622","649966"
"Seth Brown","OAK","112","378","14","7.9%","26.7%",".184",".270",".222",".286",".405",".298",".323","92","-1.8","-5.4","-7.7","0.0",".692","12.1%","40","-6.5","-0.98","31.4%","69.6%","50.2%","43.0%","83.2%","70.4%","49.2%","-1.9","44.1%","20.0%","90.5","16.4","12.2%","113.3","46.1%","245","28.5%",".236",".450","18171","664913"
"Jake Bauers","NYY","84","272","12","9.9%","34.9%",".211",".268",".202",".279",".413",".297",".339","89","-2.6","-6.1","-8.3","-0.5",".693","18.8%","28","-4.7","-0.96","26.0%","63.6%","45.8%","40.3%","81.1%","70.1%","52.6%","-2.1","44.7%","23.3%","89.1","13.8","18.7%","113.5","48.0%","150","30.5%",".228",".481","15194","641343"
"Travis d'Arnaud","ATL","74","292","11","7.2%","22.9%",".172",".258",".225",".288",".397",".297",".330","83","-1.1","-7.2","6.4","0.9",".685","14.7%","30","-5.1","-1.04","26.5%","73.2%","52.0%","47.8%","80.5%","72.9%","54.6%","-0.4","41.8%","28.9%","90.7","10.3","9.0%","110.8","42.8%","201","26.5%",".253",".441","7739","518595"
"J.J. Bleday","OAK","82","303","10","13.9%","23.8%",".160",".226",".195",".310",".355",".297",".301","92","1.0","-2.1","-6.9","0.1",".666","12.7%","32","-5.4","-0.54","20.5%","66.6%","43.4%","51.2%","82.8%","75.3%","49.6%","0.5","46.5%","22.5%","88.6","15.5","6.4%","108.8","34.8%","187","26.2%",".202",".352","26368","668709"
"Amed Rosario","- - -","142","545","6","5.3%","18.2%",".116",".314",".263",".305",".378",".297",".303","88","-2.0","-9.6","-7.0","0.2",".683","4.6%","57","-9.7","-1.05","39.8%","68.0%","53.4%","64.4%","87.4%","78.5%","48.3%","-2.1","32.9%","27.5%","88.3","7.6","3.4%","110.5","39.4%","414","26.3%",".269",".374","15518","642708"
"Luis Garcia","WSN","122","482","9","5.6%","12.4%",".119",".286",".266",".304",".385",".297",".309","84","-2.6","-12.3","-2.7","0.1",".688","8.1%","50","-8.6","-0.37","30.2%","73.6%","50.6%","69.1%","91.8%","84.7%","47.0%","-1.3","34.7%","26.1%","88.3","4.6","5.8%","110.0","35.7%","395","22.0%",".262",".401","20391","671277"
"Jake Meyers","HOU","112","341","10","7.6%","25.8%",".155",".283",".227",".296",".382",".297",".285","88","2.5","-2.6","7.8","1.7",".678","11.2%","35","-6.1","-1.01","26.6%","67.5%","47.9%","44.4%","85.0%","74.1%","52.0%","2.0","42.8%","25.7%","86.0","13.9","6.3%","108.3","27.9%","222","27.8%",".214",".356","20308","676694"
"Josh Palacios","PIT","91","264","10","4.5%","21.2%",".174",".269",".239",".279",".413",".297",".318","83","-1.1","-6.8","-2.2","0.0",".692","16.1%","27","-4.8","-0.31","30.0%","70.7%","51.9%","56.4%","83.8%","76.5%","53.8%","-1.0","44.3%","18.6%","91.3","7.7","10.3%","109.6","45.4%","194","27.6%",".257",".437","19818","641943"
"Giancarlo Stanton","NYY","101","415","24","9.9%","29.9%",".229",".210",".191",".275",".420",".297",".329","89","-5.2","-10.8","-11.7","-0.8",".695","21.8%","43","-7.5","-1.15","25.7%","61.0%","42.5%","44.6%","78.2%","67.6%","47.7%","-4.1","41.1%","22.2%","93.3","12.5","15.7%","119.5","48.0%","248","32.5%",".219",".466","4949","519317"
"Jason Delay","PIT","70","187","1","7.5%","23.5%",".096",".333",".251",".319",".347",".296",".266","82","-1.0","-5.1","9.5","1.1",".666","2.6%","19","-3.5","-0.81","30.1%","68.6%","51.3%","48.9%","86.1%","76.3%","55.1%","-0.5","39.7%","31.8%","83.8","12.7","3.2%","105.4","23.0%","126","27.4%",".214",".300","19806","641511"
"Drew Waters","KCR","98","337","8","8.0%","31.8%",".149",".321",".228",".300",".377",".296",".316","82","1.8","-5.5","2.2","0.8",".677","10.0%","35","-6.3","-1.13","34.1%","69.9%","51.2%","50.2%","80.9%","70.2%","47.7%","0.7","42.4%","24.8%","87.4","17.2","10.1%","112.2","35.9%","198","28.7%",".235",".413","20505","671221"
"Kevin Newman","CIN","74","253","3","6.7%","13.4%",".111",".280",".253",".311",".364",".296",".311","78","0.0","-6.8","-1.9","0.0",".675","4.9%","26","-4.8","-1.39","27.6%","63.9%","46.6%","73.3%","93.1%","87.5%","52.3%","-0.2","38.9%","24.2%","86.5","12.0","2.5%","105.7","29.3%","198","25.3%",".271",".369","17696","621028"
"Emmanuel Rivera","ARI","86","283","4","7.8%","19.8%",".097",".313",".261",".314",".358",".295",".307","83","-1.5","-7.4","0.7","0.3",".672","6.0%","29","-5.4","-0.30","25.8%","66.8%","46.7%","48.3%","86.5%","76.2%","51.1%","0.1","32.7%","27.3%","90.7","11.2","5.9%","109.3","46.3%","205","27.2%",".259",".383","19890","656896"
"Matt Thaiss","LAA","95","307","9","11.7%","27.0%",".126",".272",".214",".319",".340",".295",".329","84","-1.2","-7.2","-0.2","0.3",".659","13.6%","32","-5.9","-0.22","20.6%","69.2%","45.8%","48.8%","75.7%","69.9%","51.8%","-0.9","41.2%","25.3%","88.5","9.2","10.4%","110.0","40.7%","182","27.5%",".228",".402","19318","642136"
"Jose Abreu","HOU","141","594","18","7.1%","21.9%",".146",".276",".237",".296",".383",".295",".310","86","-4.1","-13.8","-12.9","-0.6",".680","11.9%","61","-11.4","-1.16","36.3%","63.9%","50.1%","57.9%","85.4%","75.5%","50.1%","-1.3","33.9%","25.7%","89.0","10.8","8.7%","113.3","41.6%","416","29.1%",".243",".400","15676","547989"
"Miguel Vargas","LAD","81","304","7","12.5%","20.1%",".172",".224",".195",".305",".367",".295",".305","85","0.5","-5.1","-3.8","0.1",".672","7.5%","31","-5.9","-1.17","18.4%","68.0%","44.4%","55.7%","86.7%","80.5%","52.2%","0.1","37.5%","27.5%","86.8","16.6","6.0%","109.0","31.3%","201","25.2%",".211",".352","20178","678246"
