"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Bobby Witt Jr.","KCR","158","694","30","5.8%","17.4%",".218",".295",".276",".319",".495",".343",".373","115","7.0","19.3","14.7","5.7",".813","13.1%","99","14.4","-0.43","30.8%","69.3%","50.5%","64.4%","85.0%","78.9%","51.1%","4.1","37.8%","30.1%","90.7","15.7","11.5%","113.8","45.4%","529","25.5%",".297",".535","25764","677951"
"Alex Kirilloff","MIN","88","319","11","8.8%","25.1%",".174",".337",".270",".348",".445",".343",".333","120","0.8","8.4","-11.2","0.8",".793","18.3%","45","6.5","0.09","32.9%","64.2%","47.3%","59.1%","84.0%","74.7%","46.1%","-0.2","35.8%","28.4%","88.6","12.4","7.4%","108.7","37.8%","204","29.2%",".260",".420","20325","666135"
"Xander Bogaerts","SDP","155","665","19","8.4%","16.5%",".154",".319",".285",".350",".440",".343",".317","120","-0.9","15.7","6.0","4.4",".790","11.7%","95","13.5","-0.92","24.1%","59.0%","42.6%","61.2%","87.6%","80.6%","53.1%","-0.6","40.2%","28.3%","87.6","7.9","6.1%","111.4","34.4%","492","29.8%",".252",".395","12161","593428"
"Mike Ford","SEA","84","251","16","9.6%","32.3%",".247",".276",".228",".323",".475",".343",".312","123","-2.2","4.7","-6.9","0.6",".798","23.2%","36","5.1","0.07","23.7%","62.6%","42.7%","47.2%","80.7%","71.2%","48.9%","-2.0","45.3%","19.4%","88.8","21.0","17.3%","111.1","44.6%","139","30.1%",".199",".408","15585","645801"
"Ryan Noda","OAK","128","495","16","15.6%","34.3%",".177",".347",".229",".364",".406",".342",".334","123","-0.3","13.1","-10.0","2.0",".770","17.2%","70","9.6","0.23","19.5%","63.7%","42.7%","26.3%","75.5%","64.8%","52.5%","-0.4","45.4%","21.9%","91.2","16.0","13.0%","113.9","45.0%","238","31.8%",".212",".390","23312","676116"
"Jack Suwinski","PIT","144","534","26","14.0%","32.2%",".230",".290",".224",".339",".454",".341",".349","112","5.0","13.2","-3.8","2.8",".793","17.3%","75","10.1","-0.65","17.6%","59.0%","38.9%","40.0%","80.9%","71.9%","51.4%","2.1","41.6%","21.7%","90.5","22.4","15.7%","114.7","43.4%","281","30.4%",".218",".464","22244","669261"
"Jordan Walker","STL","117","465","16","8.0%","22.4%",".169",".331",".276",".342",".445",".341",".333","116","-1.2","8.1","-21.7","0.2",".787","14.3%","65","8.8","0.70","32.8%","72.1%","51.7%","47.4%","84.4%","72.1%","47.9%","0.1","39.6%","23.6%","89.4","10.2","7.6%","114.3","42.5%","318","28.4%",".268",".424","27475","691023"
"Anthony Santander","BAL","153","656","28","8.4%","23.2%",".215",".299",".257",".325",".472",".340",".318","119","0.1","15.3","-11.1","2.6",".797","12.7%","92","12.0","2.66","35.0%","65.7%","49.0%","67.2%","85.7%","78.5%","45.7%","0.3","46.1%","21.2%","90.6","20.2","10.2%","113.0","46.1%","443","26.4%",".235",".421","14551","623993"
"Nathaniel Lowe","TEX","161","724","17","12.8%","22.8%",".152",".329",".262",".360",".414",".340",".337","114","-8.0","4.5","-8.1","2.1",".775","12.3%","101","13.2","0.31","22.9%","64.2%","43.8%","60.5%","89.2%","81.8%","50.6%","-4.8","29.1%","30.8%","89.8","7.2","6.5%","111.2","41.4%","461","24.3%",".260",".400","19566","663993"
"Jorge Polanco","MIN","80","343","14","10.5%","25.7%",".199",".310",".255",".335",".454",".340",".351","118","1.7","9.1","-5.5","1.5",".789","13.9%","48","6.2","1.08","29.0%","65.6%","46.4%","57.0%","87.1%","77.2%","47.4%","-0.2","42.4%","21.2%","88.4","21.6","13.8%","111.4","40.6%","217","26.7%",".252",".486","13152","593871"
