Season,Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Team,Season,Age,H,2B,LD%,GB%,FB%,HR/FB,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pull%,Cent%,Oppo%,Hard%,EV,LA,Barrel%,HardHit%,CSW%,xBA,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID
2023,"Yainer Diaz","HOU",104,377,23,0,0.029177718,0.196286472,0.256338029,0.291666666,0.28169014,0.307692307,0.538028169,0.35353172283906203,,126.93999253060286,-1.6725335554219782,10.496938857653019,1.1407498121261597,2.448140994775703,"HOU",2023,24,100,22,0.202090592,0.432055749,0.365853658,0.219047619,0.4641,0.7782,0.5863,0.6223,0.8677,0.749,0.3891,0.4286,0.3415,0.23,0.3833,90.27595546602788,11.466794323007404,0.122,0.439,0.2565,,,,"Yainer Diaz",23003,673237
2023,"Ryan Noda","OAK",128,495,16,3,0.155555555,0.343434343,0.177339901,0.346846846,0.229064039,0.363636363,0.40640394,0.3417060995391506,,122.5290655408071,0.5467851888388395,13.90908792026435,-9.263509094715118,2.1539362297096827,"OAK",2023,27,93,22,0.229787234,0.374468085,0.39574468,0.17204301,0.2233,0.6806,0.4268,0.3784,0.7599,0.6491,0.445,0.4538,0.3277,0.2185,0.3908,91.15106382978723,16.041106008976065,0.1303,0.4496,0.3177,,,,"Ryan Noda",23312,676116
2023,"José Caballero","SEA",104,280,4,26,0.1,0.235714285,0.0995671,0.284848484,0.22077922,0.342857142,0.32034632,0.3045011120183127,,96.38436462195457,2.97503821272403,1.7619969113193594,6.71255099773407,1.801412768602403,"SEA",2023,26,51,9,0.19760479,0.323353293,0.479041916,0.05,0.3118,0.5856,0.4254,0.6394,0.8953,0.7856,0.4149,0.4852,0.2959,0.2189,0.2071,83.31437125748504,21.455927500467816,0.0355,0.2308,0.3121,,,,"Jose Caballero",23401,676609
2023,"Ji Hwan Bae","PIT",111,371,2,24,0.080862533,0.247978436,0.080838323,0.309917355,0.230538922,0.296195652,0.311377245,0.2718504774181739,,65.98238009801163,2.887147393077612,-12.747804629747986,-0.44044995307922363,-0.06187964096807144,"PIT",2023,23,77,17,0.184549356,0.596566523,0.21888412,0.039215686,0.3059,0.6825,0.4635,0.6381,0.8628,0.7765,0.4183,0.2915,0.3603,0.3482,0.2186,88.06077417834052,1.1343620563375538,0.0202,0.3684,0.2692,,,,"Ji Hwan Bae",23818,678225
2023,"Ezequiel Tovar","COL",153,615,15,11,0.040650406,0.269918699,0.154905335,0.327543424,0.253012048,0.287112561,0.407917383,0.29848037730616805,,70.2792673452019,-0.8451284226030111,-23.489138839292885,18.070229530334473,1.537085160874565,"COL",2023,21,147,37,0.23501199,0.426858513,0.338129496,0.106382978,0.454,0.8096,0.5934,0.557,0.8473,0.7123,0.3921,0.3357,0.3929,0.2714,0.3167,88.03469503012049,12.62257859563253,0.081,0.3571,0.2805,,,,"Ezequiel Tovar",24064,678662
2023,"Liover Peguero","PIT",59,213,7,6,0.051643192,0.31455399,0.136363636,0.32,0.237373737,0.279620853,0.373737373,0.28361283574624085,,73.86765315934474,0.3367233476601541,-6.558950884790739,0.782710075378418,0.1435119816706474,"PIT",2023,22,47,4,0.192307692,0.515384615,0.292307692,0.184210526,0.3266,0.7357,0.5117,0.5172,0.8444,0.7301,0.4525,0.4179,0.3358,0.2463,0.306,89.31705729166667,4.103592153695914,0.0522,0.3955,0.3005,,,,"Liover Peguero",24273,678894
2023,"Johan Rojas","PHI",59,164,2,14,0.030487804,0.25609756,0.127516779,0.409523809,0.302013422,0.341772151,0.429530201,0.3352181447457664,,109.32985037076573,3.239042079541832,5.134600814566671,3.985918879508972,1.4634639477795677,"PHI",2023,22,45,9,0.207920792,0.455445544,0.336633663,0.058823529,0.4153,0.6734,0.5294,0.6,0.8743,0.7542,0.4421,0.3805,0.3894,0.2301,0.2478,86.597099609375,7.319059164217203,0.0088,0.2832,0.303,,,,"Johan Rojas",24336,679032
2023,"Logan O'Hoppe","LAA",51,199,14,0,0.070351758,0.24120603,0.263736264,0.239669421,0.236263736,0.296482412,0.5,0.33674844755000205,,112.53470364654157,-1.5903236852027476,1.398498486940365,-5.1833096742630005,0.3022782445657365,"LAA",2023,23,43,6,0.14074074,0.377777777,0.481481481,0.215384615,0.3665,0.721,0.5151,0.4877,0.8348,0.6913,0.4192,0.563,0.2815,0.1556,0.3926,90.49110966435185,19.63429542824074,0.1556,0.4667,0.3001,,,,"Logan O'Hoppe",24729,681351
2023,"James Outman","LAD",151,567,23,16,0.119929453,0.319223985,0.188405798,0.342756183,0.248447204,0.352733686,0.436853002,0.3443046653439215,,118.32801786044868,3.4083022852428257,16.282414117901027,4.5010799169540405,3.9877888734009668,"LAD",2023,26,120,16,0.213815789,0.375,0.41118421,0.184,0.2808,0.7173,0.4594,0.4564,0.7841,0.6657,0.4092,0.4902,0.2908,0.219,0.2908,87.85493549547698,15.725065532483553,0.1111,0.3954,0.3107,,,,"James Outman",24770,681546
2023,"Endy Rodríguez","PIT",57,204,3,0,0.083333333,0.240196078,0.107526882,0.281481481,0.220430107,0.284313725,0.327956989,0.27098164196107905,,65.39992846429345,0.6680344818159938,-8.07628231439377,7.515250086784363,0.6331594247865509,"PIT",2023,23,41,7,0.240875912,0.335766423,0.423357664,0.051724137,0.3147,0.6795,0.4613,0.6575,0.9009,0.8017,0.4021,0.5,0.2754,0.2246,0.3043,89.11971088047446,16.454525690009124,0.0507,0.3623,0.2539,,,,"Endy Rodriguez",25332,682848
